tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,87.9376,58.31,0,0,1.0,1.0,1.0,0.02,78.3,0,5.78,18.1
1,90.5036,57.5,0,0,1.0,1.0,1.0,0.02,78.8,0,5.62,36.2
2,93.1285,56.41,0,0,1.0,1.0,1.0,0.02,79.4,0,5.6,54.2
3,95.7134,55.41,0,0,1.0,1.0,1.0,0.02,80.0,0,5.63,72.3
4,98.5019,54.57,0,0,1.0,1.0,1.0,0.02,80.5,0,5.69,90.4
5,101.3112,53.81,0,0,1.0,1.0,1.0,0.02,81.1,0,5.82,108.5
6,102.7448,52.96,0,0,1.0924,1.0,1.0166,0.03432,75.1,0,6.31,126.6
7,103.5235,51.9,0,0,1.1664,1.0,1.0298,0.04287,75.7,0,6.87,144.6
8,104.0127,50.7,0,0,1.2255,1.0,1.0404,0.04758,76.3,0,7.48,162.7
9,103.9398,49.23,0,0,1.278,1.0,1.0489,0.05955,71.9,1,7.97,180.8
10,104.0119,48.39,0,0,1.3167,1.0,1.0557,0.05886,73.0,1,8.52,198.9
11,104.3221,47.6,0,0,1.3528,1.0,1.0611,0.05758,74.1,1,8.94,217.0
12,104.8145,46.97,0,0,1.3817,1.0,1.0655,0.05552,75.2,1,9.21,235.0
13,105.5052,46.53,0,0,1.4048,1.0,1.069,0.053,76.3,1,9.36,253.1
14,106.3958,46.18,0,0,1.4233,1.0,1.0718,0.05027,77.4,1,9.43,271.2
15,107.4798,46.0,0,0,1.4382,1.0,1.074,0.0475,78.5,1,9.41,289.3
16,108.7463,45.93,0,0,1.4501,1.0,1.0758,0.04479,79.6,1,9.35,307.4
17,110.1827,45.96,0,0,1.4598,1.0,1.0772,0.04219,80.6,1,9.24,325.4
18,111.7756,46.01,0,0,1.4676,1.0,1.0783,0.03977,81.7,1,9.12,343.5
19,113.5109,46.1,0,0,1.4739,1.0,1.0792,0.03753,82.7,1,8.98,361.6
20,115.2437,46.22,0,0,1.4707,1.0,1.08,0.03483,83.8,1,8.82,379.7
21,117.1163,46.41,0,0,1.4682,1.0,1.0805,0.03256,84.8,1,8.65,395.1
22,119.0852,46.72,0,0,1.4498,1.0,1.081,0.02934,85.8,1,8.44,410.4
23,121.2061,47.04,0,0,1.435,1.0,1.0814,0.02685,86.8,1,8.23,424.2
24,123.4401,47.48,0,0,1.4033,1.0,1.0817,0.02334,87.9,1,7.97,437.4
25,125.8391,47.9,0,0,1.3779,1.0,1.0819,0.0208,88.9,1,7.72,450.7
26,128.3627,48.25,0,0,1.3576,1.0,1.0821,0.01902,89.9,1,7.49,463.9
27,130.9914,48.64,0,0,1.3236,1.0,1.0823,0.01631,90.9,1,7.24,476.9
28,133.7614,48.98,0,0,1.2965,1.0,1.0824,0.01452,91.9,1,7.01,489.9
29,136.634,49.27,0,0,1.2747,1.0,1.0825,0.01343,93.0,1,6.82,502.6
30,138.9292,49.02,0,0,1.2574,1.0,1.0826,0.02223,89.9,2,6.66,515.3
31,141.6792,49.19,0,0,1.2424,1.0,1.0826,0.02044,91.0,2,6.7,527.9
32,144.5416,49.46,0,0,1.2161,1.0,1.0827,0.01776,92.0,2,6.66,540.6
33,147.4698,49.74,0,0,1.1949,1.0,1.0827,0.01596,93.0,2,6.58,553.3
34,150.4715,49.98,0,0,1.1781,1.0,1.0827,0.01482,94.1,2,6.51,565.9
35,153.6163,50.27,0,0,1.1645,1.0,1.0828,0.01265,95.1,2,6.4,577.7
