tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,158.9944,53.12,0,0,1.0,1.0,1.0,0.02,76.5,0,5.76,110.5
1,208.0096,51.07,0,0,1.0,1.0276,1.0,0.02553,76.4,1,5.71,220.9
2,258.3597,48.98,0,0,1.0189,1.0873,1.0307,0.04843,77.1,1,6.23,331.4
3,309.8571,47.06,0,0,1.0341,1.1352,1.0553,0.06251,78.0,1,6.97,441.9
4,362.973,45.35,0,0,1.0463,1.1737,1.075,0.07045,78.9,1,7.71,552.3
5,417.0207,44.2,0,0,1.0561,1.2047,1.0908,0.07413,79.7,1,8.21,662.8
6,462.4605,42.51,0,0,1.0965,1.242,1.1382,0.09916,79.7,4,9.12,773.3
7,500.7549,40.37,0,0,1.1342,1.2818,1.184,0.12263,78.5,12,10.27,883.8
8,547.9964,38.32,0,0,1.1718,1.3253,1.2222,0.13757,78.5,15,11.59,994.2
9,593.7323,36.35,0,0,1.2008,1.3612,1.255,0.14484,78.5,19,12.74,1104.7
10,643.3968,34.45,0,0,1.2297,1.3943,1.2821,0.14811,79.1,21,13.77,1215.2
11,682.9785,32.54,0,0,1.2495,1.4161,1.3069,0.14972,78.0,29,14.51,1325.6
12,727.0791,30.97,0,0,1.275,1.4485,1.3296,0.1522,77.5,35,15.17,1436.1
13,778.685,30.03,0,2,1.2936,1.4695,1.3395,0.14377,77.7,38,15.53,1546.6
14,830.015,29.49,0,4,1.3077,1.4851,1.3447,0.13597,77.5,42,15.58,1657.1
15,887.3354,29.4,0,4,1.3212,1.5033,1.3461,0.12776,78.1,44,15.47,1767.5
16,946.2153,29.54,0,4,1.3376,1.5149,1.351,0.1213,78.7,46,15.22,1878.0
17,1006.233,30.03,0,4,1.3471,1.509,1.346,0.10898,79.2,48,14.75,1988.5
18,1071.7921,30.84,0,4,1.3555,1.497,1.3393,0.09667,79.7,49,14.12,2098.9
19,1139.9353,32.26,0,3,1.3611,1.4828,1.3282,0.0821,80.7,49,13.31,2209.4
20,1209.9639,34.0,0,1,1.3474,1.4561,1.3184,0.06377,81.5,49,12.25,2316.4
21,1281.5839,35.6,0,1,1.3257,1.4298,1.3116,0.04718,82.2,49,11.07,2415.2
22,1350.3344,37.26,0,1,1.3037,1.4086,1.3042,0.03419,82.4,50,9.85,2510.5
23,1420.6575,38.99,0,1,1.2845,1.3845,1.2984,0.0223,83.1,50,8.67,2605.3
